vocabulary_id,Unnamed: 0,term,hateful_meaning,nonhateful_meaning,is_unambiguous,is_unambiguous_in,average_offensiveness,language,plural_of,variant_of,transliteration_of,is_about_nationality,is_about_ethnicity,is_about_religion,is_about_gender,is_about_sexual_orientation,is_about_disability,is_about_class,number_of_sightings,number_of_sightings_this_year,number_of_sightings_this_month,created_on,updated_on,term_lemma
zPmE2uCCg,13,hoosier,A rural or unsophisticated person,A person from Indiana,False,,88.0,eng,,,,False,False,False,False,False,False,True,36,0,0,2013-08-09 15:28:04,2019-10-30 22:47:18,hoosier
pbWuDaapo,14,hooknoses,,,False,,,eng,hooknose,,,False,True,True,False,False,False,False,1,1,1,2019-04-12 17:15:34,2019-10-30 22:46:53,hooknoses
arAfRhXak,15,hooknosed,,,False,,,eng,,hooknose,,False,True,True,False,False,False,False,31,6,0,2019-04-12 17:16:15,2019-10-30 22:46:48,hooknosed
JWkFPrJmY,16,hooknose,Referring to a stereotypical facial feature of Jewish people,,False,,,eng,,,,False,True,True,False,False,False,False,43,21,1,2019-04-12 17:14:59,2019-10-30 22:46:44,hooknose
hExD3rxQp,17,dagowops,,,False,,100.0,eng,dagowop,,,True,True,False,False,False,False,False,0,0,0,2019-04-12 15:19:09,2019-10-30 22:43:58,dagowops
oVFNgdGCE,18,dagowop,"Combination of ""Dago"" and ""Wop""",,False,,100.0,eng,,,,True,True,False,False,False,False,False,0,0,0,2019-04-12 15:18:23,2019-10-30 22:43:54,dagowop
kurvPtF7E,19,chimp-outs,,,False,,,eng,chimp pack,,,False,True,False,False,False,False,False,0,0,0,2019-02-28 19:37:37,2019-10-30 22:43:01,chimp - out
pdqCdUuiB,20,bean bandit,Referring to Hispanic people,,False,,75.0,eng,,,,False,True,False,False,False,False,False,3,2,0,2019-04-11 20:41:41,2019-10-30 22:40:46,bean bandit
kpYzwEddG,21,bean bandits,,,False,,75.0,eng,bean bandit,,,False,True,False,False,False,False,False,2,2,0,2019-04-11 20:42:16,2019-10-30 22:40:39,bean bandit
fB3bwakms,22,lipstick lesbians,,,False,,,eng,lipstick lesbian,,,False,False,False,False,True,False,False,21,15,0,2019-03-17 17:47:43,2019-10-30 22:36:55,lipstick lesbian
zPrJTQa6Y,23,libtard,Contraction of liberal and retard,,False,,44.0,eng,,,,False,False,False,False,False,True,False,194,100,19,2019-05-07 20:05:39,2019-10-30 22:36:51,libtard
qVTLPxNRc,24,jihadi-americans,,,False,,,eng,jihadi-american,,,False,True,True,False,False,False,False,0,0,0,2019-04-12 17:09:24,2019-10-30 22:36:47,jihadi - americans
BjWPVTHeu,25,jihadi-american,"Derogatory play on hyphenated ethnicity, relating to Muslims or Arabs more broadly.",,False,,,eng,,,,False,True,True,False,False,False,False,0,0,0,2019-04-12 17:08:44,2019-10-30 22:36:43,jihadi - american
FNJHyjEyU,26,gyppoes,,,False,,,eng,gyppo,gypos,,False,True,False,False,False,False,False,0,0,0,2019-04-08 14:26:23,2019-10-30 22:36:40,gyppoes
HBT8LPDiC,27,gypoes,,,False,,,eng,gypo,gypos,,False,True,False,False,False,False,False,0,0,0,2019-04-08 14:25:36,2019-10-30 22:36:35,gypoes
soUDwjTpk,28,gooky eyes,,,False,,,eng,,gook eyes,,False,True,False,False,False,False,False,2,1,0,2019-04-08 14:19:16,2019-10-30 22:33:20,gooky eye
uDVwuXLbi,29,gooklets,,,False,,96.0,eng,gooklet,gook,,False,True,False,False,False,False,False,0,0,0,2019-04-08 14:23:51,2019-10-30 22:33:16,gooklets
MHqMsGDUB,30,gooklet,,,False,,75.0,eng,,gook,,False,True,False,False,False,False,False,0,0,0,2019-04-08 14:23:09,2019-10-30 22:33:12,gooklet
hvHEkesvW,31,gookettes,,,False,,,eng,gookette,gook,,False,True,False,True,False,False,False,2,1,0,2019-04-08 14:22:02,2019-10-30 22:33:08,gookettes
GTfRPDnWk,32,gookette,,,False,,100.0,eng,,gook,,False,True,False,False,False,False,False,0,0,0,2019-04-08 14:20:58,2019-10-30 22:33:04,gookette
cNex4ZaCh,33,gook eyed,,,False,,,eng,,gook eyes,,False,True,False,False,False,False,False,0,0,0,2019-04-08 14:20:12,2019-10-30 22:32:59,gook eye
NhwQUP9Hg,34,ghetto monkeys,,,False,,,eng,ghetto monkey,,,False,True,False,False,False,False,False,6,3,1,2019-04-12 17:00:51,2019-10-30 22:32:55,ghetto monkey
riyCcVeuu,35,ghetto monkey,,,False,,,eng,,porch monkey,,False,True,False,False,False,False,False,8,3,1,2019-04-12 16:59:54,2019-10-30 22:32:50,ghetto monkey
9Tbjnfbjc,36,filthypinos,,,False,,,eng,filthypino,,,True,False,False,False,False,False,False,2,0,0,2019-04-12 15:30:22,2019-10-30 22:32:45,filthypinos
ahoDNdRbm,37,filthypinoes,,,False,,50.0,eng,,filthypinos,,True,False,False,False,False,False,False,0,0,0,2019-04-12 15:31:09,2019-10-30 22:32:41,filthypinoes
nJXyLAJPa,38,filthypino,A portmanteau of the word 'filthy' and 'Filipino',,False,,100.0,eng,,,,True,False,False,False,False,False,False,0,0,0,2019-04-12 15:29:46,2019-10-30 22:32:37,filthypino
xpzmtaysc,39,deminigger,,,False,,100.0,eng,,seminiggers,,False,True,False,False,False,False,False,0,0,0,2019-04-12 15:22:21,2019-10-30 22:29:32,deminigger
P6zCCm9iW,40,deminiggers,,,False,,,eng,deminigger,,,False,True,False,False,False,False,False,0,0,0,2019-04-12 15:22:58,2019-10-30 22:29:26,deminiggers
mngQLBoHf,41,seminigger,,,False,,,eng,,sand nigger,,False,True,False,False,False,False,False,0,0,0,2019-04-12 15:20:19,2019-10-30 22:29:21,seminigger
TQzKRXetW,42,seminiggers,,,False,,,eng,seminigger,,,False,True,False,False,False,False,False,0,0,0,2019-04-12 15:21:17,2019-10-30 22:29:17,seminiggers
VZZmYnYuJ,43,canniglets,,,False,,44.0,eng,canigglet,,,True,True,False,False,False,False,False,0,0,0,2019-04-12 15:13:17,2019-10-30 22:27:27,canniglets
p9fWmsroo,44,canigglet,,,False,,44.0,eng,,canigger,,True,True,False,False,False,False,False,0,0,0,2019-04-12 15:12:27,2019-10-30 22:27:22,canigglet
nQDqrqYkr,45,caniggers,,,False,,,eng,canigger,,,True,True,False,False,False,False,False,0,0,0,2019-04-12 15:11:33,2019-10-30 22:27:18,caniggers
BDRxjhmjx,46,canigger,"Combination of ""Canadian"" and ""Nigger""",,False,,100.0,eng,,,,True,True,False,False,False,False,False,1,1,1,2019-04-12 15:10:48,2019-10-30 22:27:12,canigger
xoN9ZyHBQ,47,cairo coons,,,False,,,eng,cairo coon,,,True,True,False,False,False,False,False,0,0,0,2019-04-12 15:09:21,2019-10-30 22:27:08,cairo coon
ypirmXBvE,48,cairo coon,,,False,,,eng,,sand nigger,,True,True,False,False,False,False,False,0,0,0,2019-04-12 15:08:44,2019-10-30 22:27:04,cairo coon
kAQVNHGsZ,49,bushniglets,,,False,,,eng,bushniglet,,,False,True,False,False,False,False,False,0,0,0,2019-04-12 15:06:50,2019-10-30 22:25:54,bushniglets
p4WtmrY9q,50,bushniglet,,,False,,,eng,,bushnigger,,False,True,False,False,False,False,False,0,0,0,2019-04-12 15:06:13,2019-10-30 22:25:48,bushniglet
ukssEgvww,51,bushniggers,,,False,,68.0,eng,bushnigger,,,False,True,False,False,False,False,False,0,0,0,2019-04-12 15:05:20,2019-10-30 22:25:43,bushniggers
Pxmt8yfmv,52,bushnigger,Referring to North American Aboriginals specifically,,False,,84.0,eng,,,,False,True,False,False,False,False,False,0,0,0,2019-04-12 15:04:07,2019-10-30 22:25:35,bushnigger
vmudnDokA,53,bush bandits,,,False,,,eng,bush bandit,,,False,True,False,False,False,False,False,1,0,0,2019-04-11 20:57:23,2019-10-30 22:25:30,bush bandit
Ln4hCRsTN,54,bush bandit,Referring to North American aboriginals,,False,,88.0,eng,,,,False,True,False,False,False,False,False,3,0,0,2019-04-11 20:56:41,2019-10-30 22:25:25,bush bandit
ZfqCyhVKw,55,border bandits,,,False,,,eng,border bandit,,,True,True,False,False,False,False,False,19,19,0,2019-04-11 20:49:58,2019-10-30 22:23:48,border bandit
KyboRTCwd,56,border banditos,,,False,,,eng,border bandito,,,True,True,False,False,False,False,False,0,0,0,2019-04-11 20:51:45,2019-10-30 22:23:42,border banditos
hTJhDMqdr,57,border bandit,,,False,,,eng,,border jumpers,,True,True,False,False,False,False,False,1,0,0,2019-04-11 20:49:13,2019-10-30 22:23:36,border bandit
dwDmDCXij,58,border banditoes,,,False,,,eng,,border banditos,,True,True,False,False,False,False,False,0,0,0,2019-04-11 20:52:37,2019-10-30 22:23:31,border banditoes
gT9FTdniK,59,african't,A lazy or unemployed black person.,,False,,75.0,eng,,,,False,True,False,False,False,False,True,0,0,0,2019-04-11 20:31:46,2019-10-30 22:19:38,african't
hVan9PHKD,60,african'ts,,,False,,75.0,eng,african't,,,False,True,False,False,False,False,True,0,0,0,2019-04-11 20:32:31,2019-10-30 22:19:30,african'ts
fqyEdwXg2,61,WASPy,"Having the stereotypical characteristics of a white, anglo-saxon protestant",,False,,38.0,eng,,WASP,,False,True,False,False,False,False,False,103,22,2,2018-11-01 20:38:48,2019-10-30 19:26:09,waspy
T67WEnanA,62,Uncle Tom,A black person perceived as behaving in a subservient manner to white authority figures.,A person's name,False,,80.0,eng,,,,False,True,False,False,False,False,False,4201,28,0,2013-06-21 23:18:42,2019-10-30 19:25:31,uncle tom
AfUHKcKtu,63,jewtarded,The combination of 'jew' and 'retarded',,True,,98.0,eng,,jewtard,,False,True,True,False,False,True,False,1,0,0,2018-11-01 20:35:44,2019-10-30 19:22:56,jewtarded
7e7d4zV6R,64,jigaboo,"A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo, meaning meek or servile.",,True,,99.0,eng,,,,False,True,False,False,False,False,False,2358,109,10,2013-06-22 00:12:03,2019-10-30 19:22:36,jigaboo
m3hnwsCjb,65,jewtard,The combination of 'jew' and 'retard',,True,,99.0,eng,,,,False,True,True,False,False,True,False,14,1,0,2018-11-01 19:42:18,2019-10-30 18:19:16,jewtard
Dnx4Amkhr,66,cunt,"[1] Comparing someone (usually Male) to female genitalia. A variant of ""pussy"", but generally regarded as far more offensive. [2] A despicable man (Australian English). Has a wide variety of usages and meaning across the English world. For instance, in Commonwealth Countries such as Britain, Australia or New Zealand it can be, and often is, used to refer positively to someone, while in Canada it is widely seen to be highly offensive.",,False,,90.0,eng,,,,False,False,False,True,False,False,False,2,1,0,2013-04-12 03:41:15,2019-10-24 22:37:42,cunt
kTfx93ZPU,67,twat,"An idiot or offensive person, generally male, who is being compared to female genitalia",,False,,41.0,eng,,,,False,False,False,True,False,False,False,0,0,0,2014-06-17 21:32:44,2019-10-24 22:36:53,twat
U7LZHsdGq,68,spicks,"A person of Hispanic descent. First recorded use in 1915. Theories include from 'no spik English' (and spiggoty from the Chicano no speak-o t'e English), but common belief is that it is an abbreviation of 'Hispanic'.",,False,,75.0,eng,spick,,,False,True,False,False,False,False,False,157,37,5,2018-11-01 20:38:33,2019-10-24 20:25:21,spicks
wWQcHVUcD,69,mud ducks,White supremacist term for a black person.,,False,,,eng,mud duck,,,False,True,False,False,False,False,False,144,27,4,2018-11-01 20:36:06,2019-10-24 20:22:55,mud duck
kohiUCEH9,70,mangia cakes,"A derogatory term used by Italians to disdainfully describe those of Anglo-Saxon descent (from Italian, literally 'cake eater'). One suggestion is that this term originated from the perception of Italian immigrants that Canadian bread is sweet as cake in comparison to the rustic bread eaten by Italians.",,False,,,eng,mangia cake,,,False,True,False,False,False,False,False,2,0,0,2018-11-01 20:35:56,2019-10-24 20:22:36,mangia cake
Uvp8LRYkF,71,lawn jockeys,"A black person, from the traditional statue.",A decorative garden statue,False,,,eng,lawn jockey,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:35:52,2019-10-24 20:21:05,lawn jockey
rg2Jxq9YD,72,limey,A British person. Comes from the historical British naval practice of giving sailors limes to stave off scurvy.,,False,,40.0,eng,,,,True,False,False,False,False,False,False,1600,15,4,2013-04-28 03:59:56,2019-10-24 20:20:58,limey
KnpraUMwu,73,limeys,A British person. Comes from the historical British naval practice of giving sailors limes to stave off scurvy.,,False,,,eng,limey,,,True,False,False,False,False,False,False,246,50,2,2018-11-01 20:35:54,2019-10-24 20:20:51,limey
QZ679UmzV,74,honky,"A white person. Derived from an African-American pronunciation of 'hunky', the disparaging term for a Hungarian laborer. The first record of its use as an insulting term for a white person dates from the 1950s.",,False,,57.0,eng,,,,False,True,False,False,False,False,False,864,0,0,2013-06-22 08:44:29,2019-10-24 20:20:17,honky
KCqZGT3G7,75,honkey,"A white person. Derived from an African-American pronunciation of 'hunky', the disparaging term for a Hungarian laborer. The first record of its use as an insulting term for a white person dates from the 1950s.",,False,,50.0,eng,,honky,,False,True,False,False,False,False,False,2708,46,6,2013-06-22 09:15:35,2019-10-24 20:19:30,honkey
PZTMUJ8RT,76,hebes,"A Jewish person, derived from the word 'Hebrew'.",A type of shrub,False,,,eng,hebe,,,False,True,True,False,False,False,False,32,6,2,2018-11-01 20:34:28,2019-10-24 20:17:53,hebes
nzfojxxfi,77,hillbillies,"A rural person, particularly Americans of Appalachia or Ozark heritage.",,False,,,eng,hillbilly,,,False,False,False,False,False,False,False,299,34,8,2018-11-01 20:34:29,2019-10-24 20:17:28,hillbilly
Gj2Tgd8ky,78,hayseed,A rural person.,,False,,74.0,eng,,,,False,False,False,False,False,False,True,2342,22,2,2013-06-20 00:17:21,2019-10-24 20:17:16,hayseed
4l7EuPtJs,79,half breeds,One who is of mixed race.,,False,,,eng,half breed,,,False,True,False,False,False,False,False,35,0,0,2018-11-01 20:34:27,2019-10-24 20:16:34,half breed
eTHuefz6U,80,greaseball,A person of Italian descent. It can also refer to any person of Mediterranean / Southern European descent or Hispanic descent.,,False,,74.0,eng,,,,True,True,False,False,False,False,False,0,0,0,2013-05-10 11:20:42,2019-10-24 20:15:00,greaseball
EGjLcktxh,81,gypped,"To be cheated or stolen from, derived from 'gypsy'",,False,,50.0,eng,gyp,,,False,True,False,False,False,False,False,191,34,1,2018-11-01 20:34:26,2019-10-24 20:14:54,gypped
4vMX4H94C,82,gyp,"[1] A Romani people. [2] Egyptians. These are variations of 'Gypsy', the most common word in English for people of Romani origin. 'Gypsy' is not in itself an ethnic slur but its usage is sometimes controversial.",,False,,70.0,eng,,gyppo,,False,True,False,False,False,False,False,805,0,0,2013-05-08 20:56:46,2019-10-24 20:14:41,gyp
tyCaffrTB,83,dot heads,"A person of Indian descent, from the caste-mark (dot) on an Indian's forehead.",,False,,84.0,eng,dot head,,,True,True,False,False,False,False,False,10,0,0,2018-11-01 20:34:10,2019-10-24 20:14:03,dot head
iqohsptWa,84,whores,A prostitute or promiscuous individual,,False,,,eng,whore,,,False,False,False,True,False,False,False,285,53,6,2018-11-01 20:38:50,2019-10-24 20:10:28,whore
Rk8sTdhtR,85,whore,A prostitute or promiscuous individual,,False,,80.0,eng,,,,False,False,False,True,False,False,False,260,45,4,2018-11-01 19:42:46,2019-10-24 20:10:22,whore
ojNnsgrQr,86,mammy,Derogatory term referring to a stereotypical African-American woman,"Mother, particularly if used by a child",False,,90.0,eng,,,,False,True,False,True,False,False,False,39,0,0,2018-11-01 19:42:20,2019-10-24 20:09:57,mammy
NLQHVY4Qc,87,muslamic,Derogatory portmanteau of Muslim and Islamic,,False,,66.0,eng,,,,False,False,True,False,False,False,False,229,35,5,2018-11-01 19:42:23,2019-10-24 20:09:44,muslamic
gfWHTxo4j,88,gypsy,Derogatory term for the Roma people,,False,,75.0,eng,,,,False,True,False,False,False,False,False,61,9,2,2018-11-01 19:42:15,2019-10-24 20:09:00,gypsy
dJLxoAvjZ,89,gypsies,Derogatory term for the Roma people,,False,,,eng,gypsy,,,False,True,False,False,False,False,False,117,18,2,2018-11-01 20:34:27,2019-10-24 20:08:53,gypsy
MvADPbJMj,90,gyps,"[1] A Romani people. [2] Egyptians. These are variations of 'Gypsy', the most common word in English for people of Romani origin. 'Gypsy' is not in itself an ethnic slur but its usage is sometimes controversial.",,False,,50.0,eng,gyp,,,False,True,False,False,False,False,False,23,10,0,2018-11-01 20:34:27,2019-10-24 20:08:40,gyps
MeRR8Jrz4,91,yokels,A rural person.,,False,,50.0,eng,yokel,,,False,True,False,False,False,False,False,318,42,15,2018-11-01 20:38:55,2019-10-24 20:06:50,yokel
UH4bwMbby,92,yokel,A rural person.,,False,,65.0,eng,,,,False,True,False,False,False,False,False,2446,33,6,2013-04-28 14:17:25,2019-10-24 20:06:44,yokel
A9XaRzmEu,93,yellow bone,[1] A black female with light skin. [2] A black female of mixed heritage.,,False,,56.0,eng,,,,False,True,False,False,False,False,False,4206,129,19,2013-05-04 12:37:24,2019-10-24 20:06:37,yellow bone
GJVDK8bQk,94,red bone,[1] A black female with light skin. [2] A black female of mixed heritage.,,False,,63.0,eng,,yellow bone,,False,True,False,False,False,False,False,1359,13,3,2013-05-04 12:46:05,2019-10-24 20:06:19,red bone
YT36NAWWa,95,white trash,A Caucasian of low class or limited income.,,False,,50.0,eng,,,,False,True,False,False,False,False,True,3213,47,8,2013-04-30 16:43:41,2019-10-24 20:03:47,white trash
m4mvnT6wz,96,trailer trash,A Caucasian of low class or limited income.,,False,,87.0,eng,,white trash,,False,True,False,False,False,False,True,4016,147,18,2013-06-22 04:12:06,2019-10-24 20:03:40,trailer trash
v2ZHTtF96,97,trailer park trash,A Caucasian of low class or limited income.,,False,,79.0,eng,,white trash,,False,True,False,False,False,False,True,3854,103,16,2013-05-05 21:47:03,2019-10-24 20:03:27,trailer park trash
3p8hGyt3A,98,shyster,"A dishonest person, particularly of Jewish decent.",,False,,84.0,eng,,,,False,True,False,False,False,False,False,3977,0,0,2013-07-04 15:18:22,2019-10-24 20:01:05,shyster
YzueJdihc,99,shysters,"A dishonest person, particularly of Jewish decent.",,False,,,eng,shyster,,,False,True,False,False,False,False,False,6,0,0,2018-11-01 20:36:50,2019-10-24 20:00:59,shysters
24VAMkA8v,100,sheister,"A dishonest person, particularly of Jewish decent.",,False,,89.0,eng,,shyster,,False,True,False,False,False,False,False,771,0,0,2013-07-04 15:18:48,2019-10-24 19:59:58,sheister
rnmkYvXgc,101,sheisters,"A dishonest person, particularly of Jewish decent.",,False,,,eng,sheister,,,False,True,False,False,False,False,False,4,0,0,2018-11-01 20:36:48,2019-10-24 19:59:51,sheisters
g6ZVn3rX3,102,peckerwood,Used by southern African-Americans and upper class whites to denote poor rural whites. It is still used mostly by African-Americans in reference to white people.,,False,,81.0,eng,,,,False,True,False,False,False,False,False,132,52,4,2013-04-18 14:10:44,2019-10-24 19:59:40,peckerwood
Zwb4t2Xqv,103,sheepfucker,"A rural person, particularly of Scottish or Welsh descent, who is alleged to have sex with sheep due to the scarcity of people in the vicinity",,False,,87.0,eng,,,,True,False,False,False,False,False,True,49,4,0,2013-06-15 22:12:12,2019-10-24 19:59:03,sheepfucker
YAxe6Qmnb,104,niggah,A black person.,,False,,100.0,eng,,nigger,,False,True,False,False,False,False,False,3276,100,11,2013-05-31 07:47:09,2019-10-24 19:56:36,niggah
Bg4VZRV2r,105,nigga,A black person.,,False,,87.0,eng,,nigger,,False,True,False,False,False,False,False,4347,138,18,2013-04-22 13:10:29,2019-10-24 19:56:23,nigga
xGcfWggJT,106,niggahs,A black person.,,False,,100.0,eng,niggah,,,False,True,False,False,False,False,False,674,99,12,2018-11-01 20:36:16,2019-10-24 19:56:17,niggahs
PmKNXxKBQ,107,niggas,A black person.,,False,,,eng,nigga,,,False,True,False,False,False,False,False,540,127,14,2018-11-01 20:36:16,2019-10-24 19:56:10,niggas
xJmcWvobo,108,newfies,"A person from Newfoundland, often used to denote lack of intelligence.",,False,,50.0,eng,newfie,,,False,False,False,False,False,False,False,44,29,3,2018-11-01 20:36:13,2019-10-24 19:55:01,newfies
HzqqYjX4H,109,newfie,"A person from Newfoundland, often used to denote lack of intelligence.",,False,,54.0,eng,,,,False,False,False,False,False,False,False,21,16,10,2013-06-25 02:10:56,2019-10-24 19:54:55,newfie
azGHaVktZ,110,hosers,"In Canada, an unsophisticated person, Back when Hockey was played on frozen ponds and lakes the losers of the hockey game would have to hose the lakes to become clean, smooth ice.  Calling someone a “hoser” is really just calling them a loser.  From the practice of stealing gas with a hose and siphon.",,False,,13.0,eng,hoser,,,True,False,False,False,False,False,True,56,32,5,2018-11-01 20:34:32,2019-10-24 19:53:22,hosers
Rnuwa2HCj,111,hillbilly,"A rural person, particularly Americans of Appalachia or Ozark heritage.",,False,,72.0,eng,,,,False,False,False,False,False,False,False,3298,64,9,2013-04-25 04:38:38,2019-10-24 19:52:45,hillbilly
H3vTZbqkD,112,eurotrash,A European.,,False,,93.0,eng,,,,False,True,False,False,False,False,False,2087,17,1,2013-06-21 12:28:45,2019-10-24 19:51:31,eurotrash
n8MFHJNtp,113,dyke,A lesbian.,,False,,90.0,eng,,,,False,False,False,True,True,False,False,2594,66,9,2013-03-18 04:00:00,2019-10-24 19:50:38,dyke
yZFjh7QNB,114,slut,"A promiscuous person, usually applied to women",,False,,79.0,eng,,,,False,False,False,True,False,False,False,164,23,0,2018-11-01 19:42:41,2019-10-24 19:44:37,slut
TZPYYUHci,115,sluts,"A promiscuous person, usually applied to women",,False,,100.0,eng,slut,,,False,False,False,True,False,False,False,180,44,0,2018-11-01 20:36:54,2019-10-24 19:44:31,slut
kjaivqpf7,116,spinks,"Plural of ""spink"", a person of mixed Hispanic and Chinese parentage.",American former professional boxer,False,,88.0,eng,,,,True,True,False,False,False,False,False,16,0,0,2018-11-01 20:38:36,2019-10-24 15:52:53,spinks
ncFQWyxAf,117,mooks,[1] An Italian-American [2] An African-American,An incompetent person,False,,50.0,eng,mook,,,True,True,False,False,False,False,False,20,0,0,2018-11-01 20:36:02,2019-10-24 15:49:45,mooks
Bmv3c6EVq,118,mook,[1] An Italian-American [2] An African-American,An incompetent person,False,,68.0,eng,,,,True,True,False,False,False,False,False,0,0,0,2013-07-28 10:01:12,2019-10-24 15:47:55,mook
qWheZhmUE,119,krauts,"A German, most specifically during World War II. From Sauerkraut.",,True,,,eng,kraut,,,True,False,False,False,False,False,False,524,101,15,2018-11-01 20:35:51,2019-10-24 15:43:51,krauts
mrzo7Mjj7,120,jiggs,"A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo, meaning meek or servile.",,False,,,eng,jigg,,,False,True,False,False,False,False,False,12,0,0,2018-11-01 20:35:47,2019-10-24 15:42:29,jiggs
z2TKWuqbG,121,jigg,"A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo, meaning meek or servile.",,False,,97.0,eng,,jigaboo,,False,True,False,False,False,False,False,25,0,0,2013-08-09 08:07:08,2019-10-24 15:42:19,jigg
epVrZaAzA,122,jiggers,"Variant of jiggaboo or jigabo, referring to a person of African descent.",A type of movement,False,,100.0,eng,jigger,,,False,True,False,False,False,False,False,52,0,0,2018-11-01 20:35:47,2019-10-24 15:37:22,jigger
j7U6mXQ4Q,123,jigger,"Variant of jiggaboo or jigabo, referring to a person of African descent.",A type of movement,False,,99.0,eng,,,,False,True,False,False,False,False,False,25,0,0,2013-05-03 03:55:19,2019-10-24 15:36:56,jigger
oYBntDFU8,124,jiggas,"Abbreviation of jiggaboo or jigabo, a slur for people of African descent",Ecstasy pill,False,,,eng,jigga,,,False,True,False,False,False,False,False,95,0,0,2018-11-01 20:35:46,2019-10-24 15:33:24,jiggas
MFub7bAmp,125,jigga,"Abbreviation of jiggaboo or jigabo, a slur for people of African descent",Ecstasy pill,False,,97.0,eng,,,,False,True,False,False,False,False,False,293,0,0,2013-07-21 04:48:56,2019-10-24 15:33:01,jigga
whGkTYHh8,126,hebe,"A Jewish person, derived from the word 'Hebrew'.",A type of shrub,False,,91.0,eng,,,,False,True,True,False,False,False,False,50,0,0,2013-07-21 15:59:14,2019-10-24 15:16:54,hebe
Gq7yurh9p,127,half breed,"One who is of mixed race, particularly half Native American and half European","Can refer to mixed parentage among other non-human species, or to an eponymous 1973 Cher song.",False,,98.0,eng,,,,False,True,False,False,False,False,False,22,0,0,2013-06-21 22:29:33,2019-10-24 15:12:43,half breed
CdMMfZisd,128,eshay,"In Australia, an unsophisticated or working class person with a predilection for ostentatious sportswear and jewellery",,False,,,eng,,,,True,False,False,False,False,False,True,76,35,3,2019-10-24 00:51:27,2019-10-24 00:54:49,eshay
gxyCXcKgB,129,eshays,"In Australia, an unsophisticated or working class person with a predilection for ostentatious sportswear and jewellery",,False,,,eng,eshay,,,True,False,False,False,False,False,True,109,62,5,2019-10-24 00:52:55,2019-10-24 00:53:35,eshays
